電影名稱,類型,評分,電影海報,年分,簡介,國家/地區,評論1,評論2,評論3,評論4,評論5
夏天的故事 ,剧情、爱情,8.3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2207375603.jpg,06/05/1996,贾斯伯（梅尔维尔·珀波 Melvil Poupaud 饰）来到布列塔尼亚的海边小镇度假，在这里，总是独来独往的他结识了餐馆招待玛戈（阿曼达·朗格勒 Amanda Langlet 饰），两人一见如故相谈甚欢。贾斯伯告诉玛戈，他和一个名叫琳娜（奥蕾莉亚·诺林 Aurelia Nolin 饰）的女孩相约于此，玛戈对此一笑了之不置可否。在一场舞会上，贾斯伯遇见了野性美女苏兰（Gwenaëlle Simon 饰），对她一见钟情，苏兰也对这个能歌善舞的小伙子心存好感。虽然玛戈心里不是滋味，但表面上她大度的祝福了这段感情。贾斯伯邀请苏兰共赴他心目中的梦幻之岛，没想到姗姗来迟的琳娜出现在了他的眼前。梦中情人的出现让贾斯伯无比欢欣，很快就忘记了和苏兰的约定，可是琳娜的性格如这个夏天一般多变，此刻还风和日丽，下一刻便已下起瓢泼大雨。苦恼的贾斯伯只得去向玛戈倾诉，但心怀爱...,法国,那个叫威松的岛，我们在还年轻的时候是到达不了的吧,看侯麦讲爱情，就像高中时独自坐在堤坝上看河水。无可言喻，无法形容。,"男猪脚天秤,玛戈双鱼,苏兰射手,琳娜天蝎",男主最喜欢的是性格、人品、相貌、大脑最差的一个，另外两个，一个真聪明，一个真性情，以他的心理成熟程度，确实没那个智慧能力爱上她们……这种男生比话多浮夸男还容易吸引女孩，虽然约会、恋爱本该是先轻松后慎重的多项选择，但他根本搞不清楚爱是个啥子，一如在座的各位年轻仔。,#重看#可能“友情以上恋人未达”的状态是最完美的两性关系---既拥有倾慕的向往，又兼有客观审视的独立，与马戈似有若无的情愫的确如“仿佛并无故事”，在漫行的运动长镜中建构起关乎情感的深层探讨。色调从明媚转入阴霾，结尾时再度明媚，三段关系结构折射出的性格完满成型，患得患失优柔寡断的蠢萌男孩或许藉此契机走向成熟。
两小无猜 ,剧情、爱情,8.5,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1132971627.jpg,04/21/1971,"这是一个纯真美好的初恋故事。丹尼尔（马克·莱斯特 Mark Lester 饰）是英国某小学的一名学童，家境殷实的他乖巧听话，同时也有叛逆的一面。他最好的朋友昂肖（杰克·瓦尔德 Jack Wild 饰），是一个叛逆乖张、专门捣蛋的小孩，丹尼尔和昂肖度过了许多个美好的放学时光。天真可爱的美乐蒂（特雷西·海德 Tracy Hyde 饰）跟丹尼尔同一所小学，原来并没有交集的二人，因为某一天在舞蹈室偶遇而相识，丹尼尔爱上了那个翩翩起舞的美乐蒂。
                                    
                                　　在昂肖的帮助下，渐渐地，美乐蒂也喜欢上丹尼尔。二人不仅放学后约会，更有一次翘课去了海边玩耍。因此被老师家长知道他们的恋情，在大人们的多番教育下，他们却更加坚定要结婚。一天，丹尼尔的妈妈看到他留下的字条，校长发现班上的同学都不见了，原来同学们都去举行丹尼尔和美乐蒂的婚礼了……",英国,"Melody问五十年有多长啊？
　　Dany说除去假期有150个学期那么长。
　　Melody问你会爱我那么久吗？我不信。
　　Dany说当然，我已经爱你一个星期了。",比某同名电影那可是好得多啊.,可爱的初恋片，小男孩小女孩都太美型了~“50年，就是150个学期~我当然能爱你那么久，我已经爱你一星期了！”最近老看这种呢，我这把老骨头！。。。开头半小时我还以为是GAY片，强烈鄙视自己。。不过男二号很有摇滚朋克范儿啊！结局太劲爆了，哈哈，音乐真美好！第一次跟Betty隔空看片\(≧▽≦)/,"男二号在走廊里喊着丹尼的名字，但是丹尼一直没回头，跟着melody走了。
看这个镜头的时候有些伤心",比那部法国的好看多了！
爱乐之城 ,剧情、爱情、歌舞,8.4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2901102612.jpg,02/14/2017,"米娅（艾玛·斯通 Emma Stone 饰）渴望成为一名演员，但至今她仍旧只是片场咖啡厅里的一名平凡的咖啡师，尽管不停的参加着大大小小的试镜，但米娅收获的只有失败。某日，在一场派对之中，米娅邂逅了名为塞巴斯汀（瑞恩·高斯林 Ryan Gosling 饰）的男子，起初两人之间产生了小小的矛盾，但很快，米娅便被塞巴斯汀身上闪耀的才华以及他对爵士乐的纯粹追求所吸引，最终两人走到了一起。
                                    
                                　　在塞巴斯汀的鼓励下，米娅辞掉了咖啡厅的工作，专心为自己写起了剧本，与此同时，塞巴斯汀为了获得一份稳定的收入，加入了一支流行爵士乐队，开始演奏自己并不喜欢的现代爵士乐，没想到一炮而红。随着时间的推移，努力追求梦想的两人，彼此之间的距离却越来越远，在理想和感情之间，他们必须做出选择。",美国,不过是一个很俗套的故事。复古还真的一点都没看出来，把洛杉矶拍得像instagram旅游号，高司令从头到尾一副刚睡醒的样子，和那些经典音乐剧电影比起来缺少太多质感。现在连卖给少女的春药都是那么的廉价。,年度十佳！最后在情字上找到了一个引人共鸣的点，人生就是一个不断追逐梦想的旅程，在某个时间点上，一个人遇到一个人，他们一起成长，相互鼓励，有美好，有痛苦，有成长，有遗憾，这就是人生。导演非常成熟老道，不仅有野心，也有足够的才华，歌舞元素几乎就是整个歌舞片的发展史，适合迷影爱好者。,这部电影有多好呢？想象这样一个场景：二十年后的一个傍晚，你开着车(或者车载着你)在回家的路上，突然扬声器里开始放起这首电影里的旋律，听到第一个音符的一瞬间，所有的情绪全都涌上来，就好像二十年前的那个夜晚你第一次听到它们的时候那样。,最后两人一吻上，眼泪就完全止不住，最后一直是痛哭。那段蒙太奇展示的就是电影的魔力啊！生活给不了的，电影可以给你，是那么浪漫、那么神奇的情感再现，最佳的电影造梦时刻。而至于理想、爱情、迷影、歌舞片、怀旧等等其他元素和小技巧反而可以放在之后了。最感慨的仍是电影的魅力，做一场电影梦吧！,看這部片會想起的那個人，一定是忘不了的
最长的旅程 ,剧情、爱情,7.4,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2218476421.jpg,04/10/2015,"卢克（斯科特·伊斯特伍德 Scott Eastwood 饰）是一名职业牛仔，他年轻气盛，身强体壮，充满了阳刚之朝气，周身散发着迷人的男性荷尔蒙气味。某日，卢克在一场牛仔竞技比赛中邂逅了名为苏菲亚（布丽特妮·罗伯森 Brittany Robertson 饰）的女孩，俊男美女之间，霎时间便燃起了熊熊的爱情的火焰。
                                    
                                　　然而，他们一个是奔放粗犷的牛仔，一个是细腻文艺的大学生，性格上的差异和对未来的不同规划令两人之间的矛盾愈演愈烈，渐渐走上了两条不同的道路。就在此时，两人在一场意外之中解救了一位名为伊拉（杰克·休斯顿 Jack Huston 饰）的老人，在听闻老人讲述了自己和妻子露丝（奥娜·卓别林 Oona Chaplin 饰）之间浪漫而又伤感的爱情故事后，卢克和苏菲亚对他们的感情重新燃起了希望。",美国,"当男主说“我一个骑牛的，去曼哈顿能干什么？”，我心说：“you can be an underwear model (and make it to the top 5).""",男主是很养眼。。但是这种做作的琼瑶戏看起来好尴尬。。再一看原作是Notebook的作者就明白了，果然是一样一样的假浪漫啊＝＝好吧我真是年纪大了。,影厅快被十几岁的小姑娘们承包了 每个国家的少女都差不多啊 亲个嘴好多人在那wow也是醉了(￣▽￣)ノ,"非常传统的爱情故事,简单说就是个love tutoring,尽管结局太美好,也算是出乎意料不错的试映.",北卡风光片 Ira和Ruth的爱情故事比男女主的不知感人多少倍！然 克林特·伊斯特伍德儿子眼角皱纹里 埋着都是牛仔的耿直和爱 征服了那头牛后站在场中央被掌声欢呼声包围的那一刻 我知道他懂了那个道理 输了你赢了世界又如何
日影之下 ,奇幻,8.4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2386620957.jpg,Feb-81,1972年至1975年间，德里克·贾曼拍摄的超级8部电影的集合体，被改编成震撼人心的音乐。,英国,http://group.mtime.com/movie_fever/discussion/2519833/,特。別。飛。,"堆砌各种影像记录，像是图片的photomontage，同一个滤镜似的色彩贯穿全片，不知道是怎么出来的这效果。到最后所有的影像全部消失只剩下光照，看到他一分一秒在变化，20世纪早期的对时间进行探索的实验短片也是这个路数。
配乐动人。",用搞来的废胶片 腐蚀 叠影 重构,"废胶片的idea就值五颗星了。我发觉所有贾曼的电影都可以用""光怪陆离的痛感""形容。无论是感官上的还是精神或灵魂上的，那是刺穿某种格局保护膜的〔痛感〕。他可能与某种神秘通灵。适合在影院看。"
爱 ,剧情、爱情,8.6,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1566292031.jpg,05/20/2012,"导演迈克尔·哈内克凭借本片再度勇夺金棕榈大奖。
                                    
                                　　本片的两位老戏骨分别是威尼斯影后和戛纳柏林双料影帝。
                                    
                                　　Anne（埃玛妞·丽娃 Emmanuelle Riva 饰）和Georges（让-路易斯·特林提格南特 Jean-Louis Trintignant 饰）这对老夫妻已经 80多岁了，他们都是退休的，有教养的音乐教师。他们的女儿Eva（伊莎贝尔·于佩尔 Isabelle Huppert 饰）也是一个音乐工作者，目前生活在国外。可是有一天，Anne突然中风，随后偏瘫，卧床不起。而正是从这一天开始，她和乔治斯的爱情，在某种程度上开始了考验......",法国 / 德国 / 奥地利,想起10月中那则夫妻黄河边徘徊12小时，丈夫将瘫痪8年的妻子推入江中的新闻。天朝这是没医保没钱，但有的都是爱。用不了多久，我肯定记不住这部电影的细节，记不住摄影场景和场面调度，甚至记不住那几句戳痛人心的对白，但我能记住那种绝望的情绪，就像老头讲叙自己小时候看电影的经历那样。★★★★,生命与死亡就像那只鸽子，抓不住也留不下，只有白头偕老的爱才是永恒。极简克制，内功深厚，诸多意象，细节制胜，绝望压抑，也有难以复述的细腻感动，两个老演员表演太震撼。,痛苦的观影。另附真事：同学家爷爷奶奶，奶奶老人痴呆症，爷爷守着，一日三餐喂稀饭。当年总去他家下棋，上上下下都被老奶奶盯着，那就像两只活着的眼球，附在了一具无生命的躯体上。这么照顾了三五十年，可能是儿女不孝或其他原因。后来，爷爷掐死奶奶，自己上吊，双双没了。当年，听后只是觉得恐怖,年轻的情人们常说，“好想和你一起慢慢变老”，真的，你们该去看看这个电影——看着生命从你深爱的那个他（她）的躯体里，慢慢离开，无丝毫浪漫可言。老，是件残酷、具体的事情，可笑的是，好像只有死，能勉强抵挡它。哈内克的残忍之处在于，他不讲述寓言，只陈述事实。,每每看见行将就木的老人，悲悯之外，更觉恐怖。老，意味着行动迟缓，反应迟钝，记忆衰退；老，意味着肤如沟壑，齿秃发落，面目可憎；老，意味着百病缠身，苟延残喘，与药为伍；老，意味着性格乖戾，思想陈旧，与新鲜事物不能相融……哀莫大于老，可我终归也有老的一天；本片拍出了我心底深深的恐惧。
圣诞前夕的骑士 ,喜剧、爱情,5.5,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2573684978.jpg,11/21/2019,"柯尔爵士（乔什·怀特豪斯 Josh Whitehouse 饰）本是生活在中世纪的一名骑士，哪知道却被女巫做法，传送到了现代的俄亥俄州，此时的这里正值圣诞前夕，整个城市都洋溢着欢快的节日气氛。可是 ，这气氛却半点都没有感染到生活在这里的女教师布鲁奇（瓦妮莎·哈金斯 Vanessa Hudgens 饰），她刚刚离开一段失败的感情，整个人都被阴云所笼罩。
                                    
                                　　在这样的情况下，不知所措的柯尔爵士和布鲁奇相遇了，善良的布鲁奇收留了无家可归的柯尔，教他如何在现代社会里生存下去，随着时间的推移，两人之间结下了真挚的友谊。柯尔爵士发现，自己被传送到现代，是为了完成某种使命的，只要完成任务，他就可以回到属于自己的年代。",美国,老阿姨全程微笑着看完，够简单够甜够套路，关键还是帅哥的魔力,为我们展示了怎么把这么好看的梗拍得这么烂的教科书,我真的无力吐槽了，姑且不说vanessa连续两年接网飞圣诞电影，第一部公主题材的那个最起码还比较drama，不至于让人觉得恶熏。这部骑士题材真的是恶心爆炸，剪辑与专场莫名其妙，感觉刚要有点看头，突然就蹦到新的篇章了，剧情弱到不能在弱了，整个内容让人摸不着头脑，台词也异常尴尬无脑。垃圾，不管你出于什么目的，都别看。,哈金斯的资源好虐哦，就只剩一年一部圣诞小鸡电影的节奏？,神神叨叨的老奶奶，负责助攻的可爱小姑娘，糖分过量的古早剧情，和去年的公主大对换完全一个配置。凡妮莎这么甜！网飞给她一个大制作可以吗！！（残念...
冷战 ,剧情、爱情、音乐,7.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2526989708.jpg,05/10/2018,"故事开始于1949年的波兰，第二次世界大战刚刚结束，资本主义和社会主义的对立抵达了白热化的状态。维克多（托马斯·科特 Tomasz Kot 饰）是一名音乐家，他正在筹建一个青少年民族音乐演出团，靠演出传统波兰歌舞来输出国家的文化，制作人伊雷娜（阿伽塔·库雷斯扎 Agata Kulesza 饰）和监督官员卡奇马雷克（波利斯·席克 Borys Szyc 饰）也参与进了这一计划中。
                                    
                                　　一个名为祖拉（乔安娜·库里格 Joanna Kulig 饰）的女孩吸引了维克多的注意，虽然卡奇马雷克并不认为这个身世复杂的女孩是参加演出团的合适人选，但维克多还是义无反顾的认定了她。随着时间的推移，两个人坠入了情网之中。",波兰 / 法国 / 英国,波兰《修女艾达》的导演的新片，依旧是冷战时期题材、黑白影像，作者感十足。导演也六十多岁了，十几岁就离开波兰到西方定居，近年返归，连续拍摄铁幕时期的作品；他对历史与个人，时代与艺术把握得如此准确、成熟、独特，让我们这些有过相似历史经历的创作者们，佩服、感叹不已。,还说这两个作逼只适合像牛郎织女一样每年只见一天，真的在一起后绝对过不下去，没想到最后居然给我殉情了！二十世纪后的世界里我只能接受日本人殉情，其他国家的人不适合这么作逼,找一对俊男美女来，顶着冷战的铁幕玩“爱乐之城”游戏，两大阵营之间来回穿梭就跟串门儿一样，这故事真是辱我智商了。小资情调，内里空虚，纯粹表扬一下接近方形的复古黑白镜头~~~~,那一边的风景更好，可哪一边的风景都不属于我们,浮在水面唱歌，心脏变成石头；跃上台桌跳舞，钟摆扼杀时间。走远又折返的亲吻，重逢不分开的誓言，当你爱上一个人，时间不再重要。跳进波兰的湖水很冰，我是取暖的篝火；东德边境的西风很冷，你是吸不断的烟。有过两个孩子，杂种唱盘和害羞小孩。孩子拍了部电影，纪念父母在冷战的世界里谈了一场热恋。
白蛇：缘起 ,爱情、动画、奇幻,7.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2544313786.jpg,01/11/2019,"幽暗洞中，白蛇（张喆 配音）苦苦修炼却不得其法，小青见此情景，将发髻上的碧玉簪子取下，令白蛇攥在手中。那一刻，五百年前的记忆瞬间苏醒。五百年前，晚唐君主昏聩庸碌，掌握邪术的国师只手遮天，命令天下百姓捕蛇修法。为了拯救族群，白蛇冒险行刺，结果却遭遇挫败，还失去了记忆。当她再度醒来，发现自己被一个专门捕蛇的村落所救下，而那个胆小却善良的青年许宣（杨天翔 配音）则吸引了白蛇的注意。与此同时，国师派出爪牙四处追寻白蛇的下落，而蛇族更误解白蛇叛逃人类，接二连三派出杀手。
                                    
                                　　五百年后的一段姻缘，早在这乱世之间便已缔结……",中国大陆 / 美国,2019年的第一份国产惊喜，超出预期，虽然还有人物表情动作略显僵硬的通病，但已经比《风语咒》要好，而且画面精美，构图讲究，中国风终于不再是素材的堆砌，而是拍出了古典韵味，实在难得，诚意作品，也有水平。,国漫啊国漫，与其称之为所谓的“崛起”，不如说“魂儿”一直都在，只是“皮囊”总是染上别的颜色。《白蛇：缘起》几乎是近几年的国漫第一次敢把“爱情”主题放在第一位的，用缘分的主题、高端的国风，保证了“皮囊”纯正好看。还是要感谢有这些认真的国漫人，足以值得我们骄傲。,画面处理让人惊艳，那些如画风景栩栩如生、那些打斗的场面也是细腻、水平颇高；影片源于古老的故事，这次却另辟蹊径，他们居然要并肩作战了；中美合作，动画片整体制作偏美风，所以人物可能让你有些许熟悉感，比如女生特有花木兰的痕迹，但是男生怎么像胡歌哩，难道制作方看了仙剑，哈哈哈；不过瑕不掩瑜，片子值得一看，另外音乐也是让人心醉！,惊喜之作！对于国漫，我们向来苛责的不是技术，而是创作者究竟有没有造梦的野心，以及讲好故事的耐心。《白蛇》无疑是成功的，画面帧帧质感，动作高度拟人，情节紧凑转合，完全不给人机会跑神。每个人物都有吸睛点，故事走向有几处想要往经典剧版靠又巧妙弹开作新。蒲公英的告白和魂飞魄散生死劫，又动情又泪目。看完走出影院，我有那么一瞬间的恍然，为一人心，伏地为妖，谈情说爱，真好呀！,一时欢情，我记了五百年。知道为什么吗？因为和一切永恒相比，转瞬即逝的永远最美好。
美人计 ,剧情、爱情、惊悚,7.7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p828519563.jpg,09/06/1946,"二战刚刚结束，莉亚（英格丽·褒曼 Ingrid Bergman饰）作为战犯的女儿被美国联邦调查局相中，利用她对父亲罪恶的负疚和其父在纳粹阵营内的关系网络，深入调查纳粹首脑契巴斯（克劳德·雷恩斯Claude Rains饰），获得情报将其定罪。联邦调查员迪奥（加里·格兰特Cary Grant饰）在与莉亚合作的过程中，深深爱上这个迷人的姑娘。然而二人感情还是要服从国家利益，因此他将私情搁置一边，忍痛让莉亚成为契巴斯身边的女人。莉亚深深失望的同时，也在契巴斯的生活中充当了间谍的角色，处于危机四伏的环境当中。
                                    
                                　　等到莉亚终于发现了契巴斯的关键情报，不料却被契巴斯发现了自己的真实身份。然而，契巴斯也有自己投鼠忌器的顾虑，为了置莉亚于死地，契巴斯设计了一个不动声色的计谋。莉亚境况堪忧，间谍计划悬念重重。",美国,并没有那么希区柯克。中国语言真是矫情，分明就是为了情报利用女子的美色不负责任地把她丢进虎穴不闻不问的利益至上主义偏偏要叫美人计。根本就是notorious。一直在想不是加里最后良心发现回来营救，褒曼真是死都不知怎么死的…褒曼色诱了大叔套取情报，最开始加里何尝没在色诱褒曼。傻姑娘,加里格兰特在里面好讨打呀,特吕弗说过：“爱情跟谋杀原本截然不同，但在希区柯克那里看起来竟然如此相似，我这才恍然大悟：恋爱和谋杀本来是一回事！”——恋爱和谋杀的控制者都让受控者为他的利益而牺牲自我，话说爱情就是个五彩斑斓的大抹布，任何丑恶都在这个环境中合理化而遁于无形，谋杀也有类似清扫的功效。【8】,结尾即高潮。影片线索都自然交代，没有故意制造悬疑，着重于表现人物的感情和内心，最后一场戏的博弈也颇为精彩。整部影片完整且有趣，男女主角表演都非常出色，加上二战刚结束的时代背景（铀矿的敏感话题）以及黑白片的光影之美，颇有韵味。最后的结束干净利落，关上的大门里法西斯将惩治法西斯。,《美人计》里有一段英格丽.褒曼和加利.格兰特的著名吻戏。当时的电影审查制度是，吻戏不得超过三秒钟，希区柯克把一个长吻打碎了，让他们在讨论晚餐的时候一直不间断的接吻，但每个吻都没超过三秒钟。
偷心 ,剧情、爱情,7.8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1457195667.jpg,12/03/2004,"四个男女之间的反复关系，在爱情里追逐和厌倦。丹（裘德·洛 Jude Law 饰）是作家，他爱上了舞女爱丽丝（娜塔丽·波特曼 Natalie Portman 饰）。丹对爱丽丝炽热燃烧的爱情给了他灵感和激情，但厌倦也随之而来，他内心在寻找另一个人的爱，终于他遇上了摄影师安娜 （朱莉娅·罗伯茨 Julia Roberts 饰）。
                                    
                                　　安娜和另一个年轻人拉里（克里夫·欧文 Clive Owen饰），在爱的游戏里相互试探和接近。但是丹的进攻也让她动了情。讽刺的是，安娜的情人拉里，也和爱丽丝有了瓜葛。
                                    
                                　　于是，躺在他们身边的人，未必是他们心里想念的那人。",美国 / 英国,男人女人男孩女孩。。。也许胜利的会是男人和女孩，一个胜在够谋略，一个胜在够单纯,人太想被爱就会花心不止,如果你能看懂，你心里真的有故事,没什么共鸣，在我眼中不过就是一群人打着真爱的幌子互相乱搞罢了。你fuck我，我fuck你，fuck到最后才发现，炮友总是老的好，于是好马也爱回头草，哪知草儿已经爱上他人的屌。,stranger→closer→lover→stranger
致所有我曾爱过的男孩 ,爱情,7.4,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2529112058.jpg,08/17/2018,"劳拉（拉娜·孔多尔 Lana Condor 饰）是一个16岁的女孩，无论是外貌还是性格，劳拉都只能算是最普通的那一挂，把她扔在人堆里，下一秒钟你就绝对再也无法注意到她。然而，劳拉的心思细腻情感丰富，让她特别容易对男孩产生好感，但她总是将这份爱慕隐藏在心底，只是通过写信的方式来抒情，一段时间下来，劳拉积攒了不少的情书，她将这些情书藏了起来，并决定将它们当做自己永远的秘密。
                                    
                                　　可让劳拉没有想到的是，自己的这些私房信竟然在某一天被统统公之于众。信件带来的巨大反响很快就令她的生活发生了天翻地覆的改变，面对各方的声音，无论是嘲讽和还是善意的，勇敢的劳拉都以一颗平常心面对。",美国,怎么我看上的小男孩又是男二！,看到PETER半裸在汤池里说为了女主跑去城市的另一边买养乐多时，我在学校脆弱的床板上小心翼翼的打滚,青春片小甜饼【一开始站错CP了，尴尬】,热浴缸里那个镜头好撩啊，哪个少女不怀春！插曲加星。,为什么都在意亚不亚裔的身份，这就是没有名字的高中女同学的一场春梦啊。
舞出我人生 ,剧情、爱情、歌舞,7.7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p477592337.jpg,03/24/2009,"个性张扬的街头嘻哈与高贵典雅的芭蕾可以在舞台上完美的契合，就像泰勒（钱宁 •塔图姆饰）与诺拉（珍娜•迪温）的结合一样。这是一个奇迹，还是一种宿命。
                                    
                                　　泰勒是来自巴尔的摩的底层社会的反叛青年，诺拉是就读与贵族艺校的优秀的芭蕾舞学生。诺拉要参加的高级舞蹈比赛，需要一个舞技超群的舞伴，而泰勒刚好因为被罚在艺术学校社区服务而闯入诺拉的视野。泰勒随意自如的街头舞蹈吸引了诺拉，舞台上的一次次合作，让这两个同样执着于艺术的孩子擦出律动的火花。
                                    
                                　　两条原本平行的直线，交汇于舞蹈的光辉。",美国,不是很有意思，舞蹈部分也没有惊喜,男主角，寸头，魁梧，帅气，i wanna be the guy like him,不是我的类型啊 但是钱老板……,拍电影跟画漫画似的。。。不过channing tatum 还是帅爆了。,无论演员还是舞蹈，2都比1养眼
乌云背后的幸福线 ,剧情、喜剧、爱情、家庭,7.7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1755867083.jpg,09/08/2012,"本身生性开朗乐观的中学教师帕特（布莱德利·库珀 Bradley Cooper 饰）回家撞见老婆出轨后因精神创伤被父母送进医院进行精神治疗。出院后帕特回到父母家与父母同住，在父亲（罗伯特·德尼罗 Robert De Niro 饰）与母亲（杰基·韦佛 Jacki Weaver 饰）的过度关怀下不免觉得压抑。一次聚会上帕特遇到了刚刚失去丈夫和工作的年轻女子蒂凡妮（詹妮弗·劳伦斯 Jennifer Lawrence 饰）。浑身是刺的蒂凡妮与帕特处处针锋相对，令帕特一开始唯恐避之不及。但随着两人接触的深入，帕特渐渐发现了蒂凡妮的动人之处，蒂凡妮也发现了帕特身上难以磨灭的乐观精神。蒂凡妮要求帕特与她共同练舞参加比赛，两人的关系开始向积极的方向改善。在舞蹈比赛的赛场，帕特终于找到了一生的所爱，而他与蒂凡妮的生活也拨开乌云重见阳光。
                                        
                                    　　本片根据Matthew Quic...",美国,“当生活在这一瞬间开始向你垂青，如果你不回应便是罪过。”、“唯一与我的疯狂匹配的是，你也做同样疯狂的事情…” 配乐不错很舒服，但剧情有些过于琐碎与小调，岂止cooper药不能停，我看这一家子都药不能停…,第一次感觉Jennifer Lawrence真心太神奇了。。。之前对她那点偏见都哪来的啊啊。。。最后的那段舞真的真的很神奇！！结尾铺垫不太够。。。,两个疯子的爱情。JL瘦了，身材不要太好！虽然有些橄榄球的桥段很啰嗦我也没听懂多少，但是整体非常棒！Bradley连穿个垃圾袋都帅成这样是要逆天啊！女主一些台词挺不错。The only way to beat my crazy was by doing something even crazier. Thank you. I love you.,三星半吧，故事太俗套了，剧本不行，中段搞笑，结尾烂俗。亮点只有穿个垃圾袋依然很帅的BC以及Jennifer Lawrence的演技，值得肯定，比想象中好。韦恩斯坦一定暗箱操作了，不然怎么可能提名所有表演奖。,你们演的虽然好，但我没有被激励到……是怎么一回事……太平庸了……
余波 ,剧情、爱情、战争,6.7,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2537193081.jpg,03/01/2019,"故事发生在1946年的德国，第二次世界大战刚刚结束，战火让大地满目疮痍，家庭妻离子散。英俊上校刘易斯（杰森·克拉克 Jason Clarke 饰）和他的妻子瑞秋（凯拉·奈特莉 Keira Knightley 饰）在战争中失去了他们的大儿子，瑞秋因此非常的痛恨德国人，但是让她没有想到的是，战后，她和她剩下的家人们，要和一个名为史蒂芬（亚历山大·斯卡斯加德 Alexander Skarsgård 饰）的男人住在同一屋檐下。
                                    
                                　　史蒂芬也在战争中失去了妻子，这让他对瑞秋没什么好脸色，两个人天天争锋相对。丧子之痛让刘易斯选择将大部分的时间和经历放在工作中，备受冷落的瑞秋每天的相处对象就只有史蒂芬，渐渐的，两人之间的关系开始转变。",英国 / 美国 / 德国,赏！心！悦！目！喜欢这种片子的色调和质感，尤其女主的服装造型，养眼极了。唯有结尾，差强人意，俗套了。共同经历过巨大创伤的两个人，既然都无法面对，还是放过彼此吧。*对了，此片美国标了PG，坡给码了R21,"人性就是如此脆弱与复杂。Watched on the flight from Nadi to Auckland on 4, Aug. 2019.",用女人告诉英国人，谁是真正的主人。,披着战后体验外衣的爱情论理电影。个人还是蛮喜欢的。二战结束后还下着大雪的德式庄园，月光下奈特莉弹钢琴那一幕很美。两个人的床戏发展了三次才得以完全进行，期间弥漫的暧昧氛围隔着荧幕都能感觉到：男主路过时轻触她的后颈，绘图时悄悄把留声机转向楼下正穿着睡袍在床前沉思的她。待女儿离开后起身关放映机，拉开窗帘和她沉默着对视……这部分导演拍的还是可以的。很喜欢这个剧本，打算看原著。缺点是战争留下的伤痕不够深刻，以及他俩第一吻有点莫名其妙（陷入情网前的铺垫过少\男主演技有点花瓶）还有那个小希特勒的那条线没有写好。Alexander戴眼镜帅到惊艳，错觉像是我男神Jude Law年轻时的样子，加一星！加上一直很喜欢凯拉·奈特莉，最后的黄色裙子太美！前天刚看完另一男主Jason演的宠物公墓，他的相貌自带沉默倔强人设，是个好丈夫。结尾赞,本子很一般，感觉被预告片骗了。搞了半天就是狗血言情戏码嘛，而且放在那个时代背景下，颇有种硬是不想戳破不好好讲故事的感觉。但是！整个片子太欲了，拍的挺美的，服装家居音乐甚至Steinway都深得我心。再次证明Alexander Skarsgård就是个行走的春药，各种暗潮涌动，谁抵挡得了那些小眼神嘛…三个演员说实话演的都很好，实在有些可惜了。
